year;total;flood;debris flow;landslide;rockfall;windstrom;lightning;ice avalanche;earthquake;other processes
1946;9;2;;1;;1;1;;3;1
1947;11;1;;;;5;5;;;
1948;8;1;;;;;7;;;
1949;6;;;2;2;1;1;;;
1950;12;1;;;2;;9;;;
1951;18;8;;2;1;;7;;;
1952;12;2;;;3;3;4;;;
1953;5;1;;;;;4;;;
1954;4;3;;;;;1;;;
1955;16;1;;;3;1;11;;;
1956;21;3;;;3;5;10;;;
1957;18;6;;1;4;;7;;;
1958;17;1;;1;5;1;9;;;
1959;10;;;1;2;6;1;;;
1960;10;2;;;6;;2;;;
1961;11;3;;;5;1;2;;;
1962;3;;;;;1;2;;;
1963;15;4;;;1;5;4;;;1
1964;11;;;1;1;;9;;;
1965;102;4;;1;3;3;3;88;;
1966;7;;;;5;1;1;;;
1967;20;3;;;1;13;3;;;
1968;12;5;;2;1;1;3;;;
1969;12;1;;;6;1;4;;;
1970;11;9;;;1;1;;;;
1971;3;;;;1;1;1;;;
1972;4;;;;2;1;1;;;
1973;8;1;;;1;3;3;;;
1974;2;;;;;;2;;;
1975;8;2;;;;1;5;;;
1976;7;1;;2;;;4;;;
1977;8;4;;;;2;2;;;
1978;13;9;;4;;;;;;
1979;2;;;;1;;1;;;
1980;3;2;;;;;1;;;
1981;10;1;6;1;;;2;;;
1982;8;1;;;1;3;3;;;
1983;5;;;;1;;4;;;
1984;1;;;;1;;;;;
1985;3;;;;;;3;;;
1986;7;2;;2;2;;1;;;
1987;10;6;1;1;;1;1;;;
1988;3;1;;;;;2;;;
1989;6;;;;;1;5;;;
1990;11;;;4;;7;;;;
1991;5;1;2;1;;;1;;;
1992;8;1;2;;;3;2;;;
1993;8;8;;;;;;;;
1994;1;;;;;1;;;;
1995;2;;2;;;;;;;
1996;4;1;;;;1;2;;;
1997;3;;;;;;3;;;
1998;5;1;;;2;2;;;;
1999;19;2;;1;1;14;1;;;
2000;20;1;3;16;;;;;;
2001;1;;;;1;;;;;
2002;5;;;3;1;1;;;;
2003;6;1;;;3;1;1;;;
2004;1;1;;;;;;;;
2005;11;3;2;2;1;1;2;;;
2006;6;1;2;;3;;;;;
2007;4;4;;;;;;;;
2008;0;;;;;;;;;
2009;5;2;;;;3;;;;
2010;2;;;;;1;1;;;
2011;3;;;;1;2;;;;
2012;6;;;;5;1;;;;
2013;7;2;;;2;3;;;;
2014;6;1;;5;;;;;;
2015;3;2;;;;1;;;;
2016;3;;2;;;;1;;;
2017;9;;;;8;1;;;;
2018;0;;;;;;;;;
2019;6;1;2;;2;1;;;;
2020;2;;;;1;1;;;;
2021;3;1;;;;2;;;;
2022;;;;;;;;;;2
2023;;;;;;2;;;;
