Station,Altitude [m asl],CH coordinates,Reference period,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Aadorf / Tänikon,539,2710518 / 1259824,01.1961-12.1990,77.9,76.8,76.3,88.6,110.8,121.6,111.6,116.2,95.0,75.7,90.8,82.6,1123.9
Aarberg,444,2588354 / 1211894,01.1961-12.1990,78.0,74.5,74.4,72.0,97.2,109.8,90.7,105.9,81.9,78.6,89.3,82.3,1034.6
Acquarossa / Comprovasco,575,2714985 / 1146450,01.1961-12.1990,62.5,64.3,73.7,122.3,150.2,125.8,121.0,145.3,138.1,120.5,113.1,54.0,1290.8
Adelboden,1321,2609371 / 1148939,01.1961-12.1990,93.2,94.7,102.5,101.7,114.5,147.4,150.4,155.3,89.5,84.0,107.4,105.3,1345.9
Affeltrangen,541,2718739 / 1266351,01.1961-12.1990,58.7,57.8,60.9,80.9,106.7,116.7,107.8,109.1,81.0,60.1,70.9,63.4,974.0
Affoltern i. E.,755,2622940 / 1212500,01.1961-12.1990,78.7,75.3,83.7,96.8,124.5,141.1,121.1,139.7,94.1,81.8,90.1,78.8,1205.7
Aigle,381,2560403 / 1130713,01.1961-12.1990,70.4,66.7,78.3,75.1,87.4,110.6,98.8,113.8,81.0,80.2,89.2,80.5,1032.0
Airolo,1139,2688910 / 1153417,01.1961-12.1990,98.1,111.2,119.0,178.2,203.9,156.3,142.2,159.0,173.1,216.9,179.4,108.7,1846.0
"Allenwinden, TG",865,2713800 / 1249549,01.1961-12.1990,119.6,118.0,118.9,131.7,143.3,169.7,157.8,163.1,124.3,97.9,125.5,118.1,1587.9
Alpthal,1015,2696860 / 1212929,01.1961-12.1990,129.4,130.2,148.3,173.3,195.5,248.5,242.8,238.9,159.1,133.2,152.7,143.7,2095.6
Altdorf,438,2690180 / 1193563,01.1961-12.1990,71.3,67.5,71.0,85.7,98.6,129.9,132.4,133.4,86.0,72.6,81.1,74.6,1104.1
Altmatt,920,2695420 / 1220769,01.1961-12.1990,116.6,107.8,127.7,152.8,170.7,211.4,200.0,211.4,142.7,117.8,130.7,126.3,1815.9
"Altstätten, SG",430,2759910 / 1250201,01.1961-12.1990,84.3,78.1,79.6,104.9,118.9,142.2,143.0,143.4,105.0,78.5,94.3,89.0,1261.2
Alvaneu Dorf,1162,2768985 / 1171899,01.1961-12.1990,53.7,48.6,58.9,64.0,98.9,110.1,120.6,133.5,99.9,67.3,75.6,50.9,982.0
Amriswil,420,2741796 / 1268303,01.1961-12.1990,60.8,59.1,62.1,84.7,111.3,118.1,110.5,116.7,88.5,64.6,76.4,64.6,1017.4
Andeer,987,2752692 / 1164037,01.1961-12.1990,41.2,36.1,53.3,70.5,94.9,103.8,107.7,124.3,106.2,71.6,71.6,36.5,917.7
Andelfingen,360,2692617 / 1273392,01.1961-12.1990,61.4,60.6,56.9,70.4,80.8,100.3,86.9,105.0,64.5,60.8,72.3,66.3,886.2
Andermatt,1435,2687444 / 1165043,01.1961-12.1990,92.0,88.5,104.2,128.0,128.4,125.1,104.8,119.8,100.5,113.0,110.2,92.8,1307.3
Appenzell,750,2748012 / 1245039,01.1961-12.1990,91.8,87.2,93.3,121.8,142.9,185.9,171.6,175.8,128.7,89.5,99.5,95.4,1483.4
Arbon,401,2750506 / 1263114,01.1961-12.1990,65.1,62.9,63.9,91.3,118.0,130.1,134.5,134.1,100.9,68.4,78.8,67.2,1115.2
Arisdorf,482,2625317 / 1261859,01.1961-12.1990,68.8,64.0,64.7,79.9,98.1,104.0,87.1,112.0,77.5,65.1,77.3,73.0,971.5
Arosa,1878,2771030 / 1184830,01.1961-12.1990,78.2,66.5,79.5,86.5,114.8,129.6,139.5,139.9,104.8,74.3,88.8,75.3,1177.7
Avenches,457,2569652 / 1191910,01.1961-12.1990,70.0,62.8,72.8,72.7,99.3,101.9,93.1,102.4,80.1,71.4,82.1,72.6,981.2
Avers / Am Bach,1993,2761959 / 1146802,01.1961-12.1990,44.4,42.0,59.2,77.5,113.1,129.9,133.5,149.7,119.4,90.4,85.4,46.4,1090.9
Bachtel,1110,2709440 / 1239139,01.1961-12.1990,104.2,98.6,112.6,140.8,155.3,183.6,173.0,190.1,125.5,100.7,115.4,109.0,1608.8
Bad Ragaz,497,2756911 / 1209350,01.1961-12.1990,73.0,70.4,72.3,81.0,99.5,122.4,125.1,146.5,99.2,66.0,81.0,77.2,1113.6
Bad Schwendi,1084,2634140 / 1207460,01.1961-12.1990,119.7,118.3,133.8,152.8,174.4,194.0,168.3,168.6,123.0,110.4,140.6,127.3,1731.2
Balsthal,523,2621017 / 1241091,01.1961-12.1990,82.5,75.1,74.4,78.2,98.8,110.4,98.5,113.1,80.3,72.8,86.6,87.3,1058.0
Barmelweid,777,2640058 / 1252430,01.1961-12.1990,92.3,85.5,90.2,100.8,113.2,128.4,106.0,124.8,90.2,81.8,98.1,98.0,1209.3
Basel / Binningen,316,2610908 / 1265611,01.1961-12.1990,51.3,49.2,51.1,63.8,83.8,86.9,79.2,87.4,61.5,51.0,59.0,53.7,777.9
Baulmes,642,2530055 / 1182443,01.1961-12.1990,129.6,123.8,107.1,94.0,114.4,111.6,97.7,108.2,92.6,93.5,125.7,139.2,1337.4
Bauma,667,2710805 / 1247004,01.1961-12.1990,104.8,100.9,108.7,131.9,148.9,173.8,157.5,173.6,123.9,98.2,115.3,106.6,1544.1
Bellelay,923,2579603 / 1234880,01.1961-12.1990,112.9,107.6,108.2,110.2,127.7,131.3,114.9,124.1,89.6,92.8,119.6,122.7,1361.6
Bellinzona,224,2720913 / 1116587,01.1961-12.1990,77.3,67.2,98.7,147.0,180.8,171.7,156.9,172.6,167.1,136.9,126.4,60.0,1562.6
Belp,510,2605082 / 1195000,01.1961-12.1990,78.9,69.5,77.5,97.4,119.6,122.7,109.4,119.6,86.1,78.6,87.1,81.3,1127.7
Benken / Doggen,408,2715387 / 1227539,01.1961-12.1990,84.2,84.2,93.9,123.7,149.6,188.3,174.1,191.3,127.1,91.9,103.1,92.7,1504.1
Bergün / Latsch,1408,2777274 / 1166618,01.1961-12.1990,55.9,47.7,58.7,63.4,98.4,105.4,111.2,132.6,89.7,66.7,76.8,55.0,961.5
Bern / Zollikofen,553,2601934 / 1204409,01.1961-12.1990,66.4,58.3,69.9,83.6,107.9,120.5,103.6,112.6,83.8,73.0,81.0,67.1,1027.7
Bernina / Curtinatsch,2090,2795796 / 1146485,01.1961-12.1990,47.7,38.6,48.8,68.8,117.1,105.4,126.1,133.8,102.4,91.5,80.1,43.2,1003.5
Beromünster,642,2657200 / 1228760,01.1961-12.1990,82.3,79.8,84.3,101.9,125.8,149.6,121.9,134.4,90.8,74.0,91.7,86.3,1222.8
Bex,402,2565805 / 1121511,01.1961-12.1990,72.7,70.2,82.3,82.5,91.5,108.1,105.6,116.6,81.6,75.3,87.4,81.5,1055.3
Beznau,327,2659976 / 1267750,01.1961-12.1990,98.3,91.3,89.3,78.8,87.3,95.5,84.4,98.1,73.1,73.4,96.7,98.4,1064.6
Biasca,278,2718535 / 1132792,01.1961-12.1990,75.8,68.8,86.1,135.1,167.4,136.3,135.9,154.5,166.1,148.5,135.0,60.4,1469.9
Biel/Bienne,433,2586260 / 1218840,01.1961-12.1990,109.0,99.6,90.2,75.3,97.5,107.6,92.2,120.5,86.4,88.4,115.1,120.8,1202.6
Binn,1479,2657995 / 1135421,01.1961-12.1990,68.7,68.1,84.6,98.0,118.6,83.3,68.3,94.4,70.3,120.7,101.9,72.7,1049.6
Bischofszell / Sitterdorf,507,2737713 / 1263612,01.1961-12.1990,59.8,60.2,61.9,84.4,109.2,118.5,115.2,115.2,88.2,61.7,74.2,63.3,1011.8
Bisisthal,856,2705983 / 1200132,01.1961-12.1990,153.2,150.5,159.0,174.7,179.4,241.8,241.6,251.3,157.7,141.0,163.5,166.3,2180.0
Bivio,1856,2771282 / 1148119,01.1961-12.1990,52.4,45.1,60.6,79.4,121.4,128.1,121.4,130.4,106.5,85.3,86.4,53.0,1070.0
Bière,684,2515887 / 1153211,01.1961-12.1990,89.2,81.7,90.9,72.7,79.0,87.6,80.3,93.9,79.6,83.5,97.3,106.1,1041.8
"Blatten, Lötschental",1538,2629563 / 1141083,01.1961-12.1990,105.7,106.5,101.2,69.4,76.4,88.3,81.5,92.6,59.0,88.6,105.0,116.7,1090.9
Blumenstein,655,2606259 / 1177009,01.1961-12.1990,71.9,76.7,78.8,93.0,121.5,145.1,138.2,148.7,96.4,78.1,93.9,79.1,1221.4
Boltigen,820,2595831 / 1163587,01.1961-12.1990,85.3,87.8,83.2,83.6,101.8,128.3,116.4,125.4,80.7,77.3,93.4,97.0,1160.2
Bosco/Gurin,1486,2680878 / 1130026,01.1961-12.1990,93.6,118.7,138.6,207.0,225.7,164.6,133.3,176.4,161.8,205.2,166.8,91.0,1882.7
